"unit","qudtUnit","qudtLabel","qudtUri","qudtDimensionVector","qudtConversionMultiplier","nonLatexDescription","latexDescription","TotalUses"
"dimensionless","UNITLESS","Unitless","http://qudt.org/vocab/unit/UNITLESS","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1,"An explicit unit to say something has no units.",NA,72531
"number","NUM","Number","http://qudt.org/vocab/unit/NUM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1,"""Number"" is a unit for  'Dimensionless' expressed as (\#$.",NA,32014
"percent","PERCENT","Percent","http://qudt.org/vocab/unit/PERCENT","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",0.01,NA,"""Percent"" is a unit for  'Dimensionless Ratio' expressed as $\%$.",26491
"meters per second","M-PER-SEC","Meter per Second","http://qudt.org/vocab/unit/M-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0",1,"Metre per second is an SI derived unit of both speed (scalar) and velocity (vector quantity which specifies both magnitude and a specific direction), defined by distance in metres divided by time in seconds.
The official SI symbolic abbreviation is mu00b7s-1, or equivalently either m/s.",NA,26373
"celsius","DEG_C","Stupně Celsia","http://qudt.org/vocab/unit/DEG_C","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H1T0D0",1,NA,"
  The unit $\textit{Celsius}$, also known as centigrade, is a scale and unit of measurement for temperature. 
  It can refer to a specific temperature on the Celsius scale as well as a unit to indicate a temperature interval, 
  a difference between two temperatures or an uncertainty. 
  This definition fixes the magnitude of both the degree Celsius and the kelvin as precisely 1 part 
  in 273.16 (approximately 0.00366) of the difference between absolute zero and the triple point of water. 
  Thus, it sets the magnitude of one degree Celsius and that of one kelvin as exactly the same. 
  Additionally, it establishes the difference between the two scales' null points as being precisely $273.15^{\circ}\text{C}$.
",21276
"meter","M","Meter","http://qudt.org/vocab/unit/M","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",1,NA,"The metric and SI base unit of distance.  The 17th General Conference on Weights and Measures in 1983 defined the meter as that distance that makes the speed of light in a vacuum equal to exactly 299 792 458 meters per second. The speed of light in a vacuum, $c$, is one of the fundamental constants of nature. The meter is equal to approximately 1.093 613 3 yards, 3.280 840 feet, or 39.370 079 inches.",11649
"millimeter","MilliM","Millimeter","http://qudt.org/vocab/unit/MilliM","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",0.001,"The millimetre (International spelling as used by the International Bureau of Weights and Measures) or millimeter (American spelling) (SI unit symbol mm) is a unit of length in the metric system, equal to one thousandth of a metre, which is the SI base unit of length. It is equal to 1000 micrometres or 1000000 nanometres. A millimetre is equal to exactly 5/127 (approximately 0.039370) of an inch.",NA,9536
"degree","DEG","Degree","http://qudt.org/vocab/unit/DEG","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",0.0174532925199433,NA,"A degree (in full, a degree of arc, arc degree, or arcdegree), usually denoted by $^\circ$ (the degree symbol), is a measurement of plane angle, representing 1/360 of a full rotation; one degree is equivalent to  $2\pi /360 rad$, $0.017453 rad$. It is not an SI unit, as the SI unit for angles is radian, but is an accepted SI unit.",8257
"centimeter","CentiM","Centimeter","http://qudt.org/vocab/unit/CentiM","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",0.01,NA,"A centimetre is a unit of length in the metric system, equal to one hundredth of a metre, which is the SI base unit of length. Centi is the SI prefix for a factor of $10^{-2}$.  The centimetre is the base unit of length in the now deprecated centimetre-gram-second (CGS) system of units.",6580
"gram","GM","Gramm","http://qudt.org/vocab/unit/GM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T0D0",0.001,"A unit of mass in the metric system. The name comes from the Greek gramma, a small weight identified in later Roman and Byzantine times with the Latin scripulum or scruple (the English scruple is equal to about 1.3 grams). The gram was originally defined to be the mass of one cubic centimeter of pure water, but to provide precise standards it was necessary to construct physical objects of specified mass. One gram is now defined to be 1/1000 of the mass of the standard kilogram, a platinum-iridium bar carefully guarded by the International Bureau of Weights and Measures in Paris for more than a century. (The kilogram, rather than the gram, is considered the base unit of mass in the SI.) The gram is a small mass, equal to about 15.432 grains or 0.035 273 966 ounce.",NA,4399
